epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,18406.7,1.30957,3.2432,1.06289,0.30738,0.13021,0.10234,0.08395,1.21085,5.06551,1.01259,3.55368e-05,3.55368e-05,3.55368e-05
41,18857.5,1.24937,3.34126,1.00529,0.27793,0.15695,0.10336,0.08284,1.23174,4.77777,1.01223,3.2448e-05,3.2448e-05,3.2448e-05
42,19307.7,1.22279,3.28396,0.99083,0.27927,0.12775,0.10245,0.08248,1.21499,4.4424,1.00058,2.93592e-05,2.93592e-05,2.93592e-05
43,19758.4,1.22118,3.25443,0.99706,0.28064,0.14854,0.10572,0.08552,1.22123,4.72943,1.00375,2.62704e-05,2.62704e-05,2.62704e-05
44,20209.5,1.22896,3.22466,0.9892,0.28354,0.14317,0.1064,0.08599,1.21996,4.47679,1.00423,2.31816e-05,2.31816e-05,2.31816e-05
45,20666.8,1.23279,3.21704,0.99225,0.25611,0.15756,0.10469,0.08447,1.23347,4.47554,1.00941,2.00928e-05,2.00928e-05,2.00928e-05
46,21120.9,1.19069,3.17823,0.99224,0.222,0.17691,0.10374,0.08617,1.22687,4.73434,1.00491,1.7004e-05,1.7004e-05,1.7004e-05
47,21570.7,1.21796,3.19637,0.99396,0.21398,0.19537,0.10769,0.08581,1.2232,4.44808,1.00719,1.39152e-05,1.39152e-05,1.39152e-05
48,22024.1,1.22426,3.18683,0.97863,0.25274,0.15625,0.10298,0.0827,1.21613,4.86877,1.00378,1.08264e-05,1.08264e-05,1.08264e-05
49,22475.5,1.19075,3.18268,0.98154,0.22144,0.19751,0.10567,0.08442,1.21041,4.85868,1.00489,7.7376e-06,7.7376e-06,7.7376e-06
50,22926.6,1.18744,3.17343,0.97918,0.22882,0.17726,0.10823,0.08615,1.22602,4.7131,1.00714,4.6488e-06,4.6488e-06,4.6488e-06
